failure_id,event_id,part_id,day_of_event,failed_qty
F000291_windshield_4,E000291,windshield,4,2
F000293_wheel_1,E000293,wheel,1,1
F000293_windshield_1,E000293,windshield,1,1
F000294_wheel_2,E000294,wheel,2,1
F000294_wheel_4,E000294,wheel,4,1
F000294_body_4,E000294,body,4,1
F000294_windshield_1,E000294,windshield,1,1
F000295_wheel_2,E000295,wheel,2,1
F000295_wheel_3,E000295,wheel,3,2
F000295_engine_5,E000295,engine,5,1
F000296_engine_3,E000296,engine,3,1
F000297_wheel_2,E000297,wheel,2,1
F000297_wheel_6,E000297,wheel,6,1
F000298_wheel_1,E000298,wheel,1,2
F000298_wheel_2,E000298,wheel,2,1
F000298_engine_3,E000298,engine,3,2
F000299_wheel_6,E000299,wheel,6,1
F000299_wheel_7,E000299,wheel,7,1
F000299_body_1,E000299,body,1,1
F000299_engine_3,E000299,engine,3,1
F000300_wheel_5,E000300,wheel,5,1
F000300_wheel_6,E000300,wheel,6,1
F000300_body_6,E000300,body,6,1
